licence,postcode
A1A000,WA4 0HT
A1A001,WA4 1HT
A1A002,WA4 2HT
A1A003,WA4 3HT
A1A004,WA4 4HT
A1A005,WA4 5HT
A1A006,WA4 6HT
A1A007,WA4 7HT
A1A008,WA4 8HT
A1A009,WA4 9HT
A1A010,WA4 0HT
A1A011,WA4 1HT
A1A012,WA4 2HT
A1A013,WA4 3HT
A1A014,WA4 4HT
A1A015,WA4 5HT
A1A016,WA4 6HT
A1A017,WA4 7HT
A1A018,WA4 8HT
A1A019,WA4 9HT
A1A020,WA4 0HT
A1A021,WA4 1HT
A1A022,WA4 2HT
A1A023,WA4 3HT
A1A024,WA4 4HT
A1A025,WA4 5HT
A1A026,WA4 6HT
A1A027,WA4 7HT
A1A028,WA4 8HT
A1A029,WA4 9HT
A1A030,WA4 0HT
A1A031,WA4 1HT
A1A032,WA4 2HT
A1A033,WA4 3HT
A1A034,WA4 4HT
A1A035,WA4 5HT
A1A036,WA4 6HT
A1A037,WA4 7HT
A1A038,WA4 8HT
A1A039,WA4 9HT
A1A040,WA4 0HT
A1A041,WA4 1HT
A1A042,WA4 2HT
A1A043,WA4 3HT
A1A044,WA4 4HT
A1A045,WA4 5HT
A1A046,WA4 6HT
A1A047,WA4 7HT
A1A048,WA4 8HT
A1A049,WA4 9HT
A1A050,WA4 0HT
A1A051,WA4 1HT
A1A052,WA4 2HT
A1A053,WA4 3HT
A1A054,WA4 4HT
A1A055,WA4 5HT
A1A056,WA4 6HT
A1A057,WA4 7HT
A1A058,WA4 8HT
A1A059,WA4 9HT
A1A060,WA4 0HT
A1A061,WA4 1HT
A1A062,WA4 2HT
A1A063,WA4 3HT
A1A064,WA4 4HT
A1A065,WA4 5HT
A1A066,WA4 6HT
A1A067,WA4 7HT
A1A068,WA4 8HT
A1A069,WA4 9HT
A1A070,WA4 0HT
A1A071,WA4 1HT
A1A072,WA4 2HT
A1A073,WA4 3HT
A1A074,WA4 4HT
A1A075,WA4 5HT
A1A076,WA4 6HT
A1A077,WA4 7HT
A1A078,WA4 8HT
A1A079,WA4 9HT
A1A080,WA4 0HT
A1A081,WA4 1HT
A1A082,WA4 2HT
A1A083,WA4 3HT
A1A084,WA4 4HT
A1A085,WA4 5HT
A1A086,WA4 6HT
A1A087,WA4 7HT
A1A088,WA4 8HT
A1A089,WA4 9HT
A1A090,WA4 0HT
A1A091,WA4 1HT
A1A092,WA4 2HT
A1A093,WA4 3HT
A1A094,WA4 4HT
A1A095,WA4 5HT
A1A096,WA4 6HT
A1A097,WA4 7HT
A1A098,WA4 8HT
A1A099,WA4 9HT
A1A100,WA4 0HT
A1A101,WA4 1HT
A1A102,WA4 2HT
A1A103,WA4 3HT
A1A104,WA4 4HT
A1A105,WA4 5HT
A1A106,WA4 6HT
A1A107,WA4 7HT
A1A108,WA4 8HT
A1A109,WA4 9HT
A1A110,WA4 0HT
A1A111,WA4 1HT
A1A112,WA4 2HT
A1A113,WA4 3HT
A1A114,WA4 4HT
A1A115,WA4 5HT
A1A116,WA4 6HT
A1A117,WA4 7HT
A1A118,WA4 8HT
A1A119,WA4 9HT
A1A120,WA4 0HT
A1A121,WA4 1HT
A1A122,WA4 2HT
A1A123,WA4 3HT
A1A124,WA4 4HT
A1A125,WA4 5HT
A1A126,WA4 6HT
A1A127,WA4 7HT
A1A128,WA4 8HT
A1A129,WA4 9HT
A1A130,WA4 0HT
A1A131,WA4 1HT
